FID,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,LocAddress,CityName,State,locZip,countyName,FO,locSupplem,opStatus,OperatType,BasinInspe,AnimalUnit,Horses,TownshipNa,Tier,Range,rangeDir,Sectn,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink,uniqueID,Swine,CattleDair,CattleBeef,Chickens,Turkeys,SheepLGoat,Other,ConsPermit,NPDESPermi,MMP,PindexMMP,NMP
9831,1396508,66573,31,1,20000278059.0,311727934,66573,66573,2624 110th Street,New Hampton,IA,50659,Chickasaw,1, ,Active,Confinement,No,999.9,0,Jacksonville,97,12,W,26,43.19804,-92.23514,562142,4783091,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,zachery.,1481707286000.0,moved to middle of building,4,52,26,70600040102.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66573,8693,999,0,0,0,0,0,0,Y,N,N,Y,N
10491,1459390,Emeraldbrook 23 97 12,7,1,20000383814.0,313481088,69570,Emeraldbrook 23 97 12,1064 PEMBROKE AVE,Lawler,IA,0,Chickasaw,1, ,Active,Confinement,No,999.9,0,Jacksonville,97,12,W,23,43.20442,-92.23873,561844,4783797,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,brian.je,1555513516000.0, ,4,52,26,70600040102.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69570,11697,999,0,0,0,0,0,0,Y,N,N,Y,N
11420,1445374,68097,31,1,20000361427.0,312377934,68097,68097,19542 PINE AVENUE,Elma,IA,50628,Howard,1, ,Active,Confinement,No,999.9,0,Paris,97,12,W,10,43.23483,-92.25608,560404,4787162,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,cindy.ga,1457453173000.0, ,1,51,26,70600040201.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68097,10174,999,0,0,0,0,0,0,Y,N,N,Y,N
11422,1457353,Million $ Site,31,1,20000379099.0,312615453,69267,Million $ Site,SAINT AVENUE,Lime Springs,IA,52155,Howard,1, ,Active,Confinement,No,999.6,0,Forest City,100,12,W,25,43.45786,-92.1997,564745,4811973,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,brian.je,1662536906000.0, ,1,51,26,70600020107.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69267,11399,999,0,0,0,0,0,0,Y,N,N,Y,N
11424,1454062,Hidden Valley Creek,31,1,20000374954.0,312559287,68932,Hidden Valley Creek,KEDARY RIDGE ROAD,Waukon,IA,52172,Allamakee,1, ,Active,Confinement,No,999.6,0,Makee,98,5,W,12,43.3252,-91.37603,631668,4798209,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,christop,1575450920000.0, ,1,56,28,70600010601.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68932,11060,999,0,0,0,0,0,0,Y,N,N,Y,N
11427,1454091,68936,31,1,20000374987.0,312559694,68936,68936,ROAD,Protivin,IA,52163,Chickasaw,1, ,Active,Confinement,No,999.6,0,Utica,97,11,W,33,43.18078,-92.1514,568965,4781240,20,INTERPOLATION-PHOTO,CENTER OF FACILITY, ,brian.je,1552293474000.0, ,4,52,26,70600040202.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68936,11062,999,0,0,0,0,0,0,Y,N,N,Y,N
11429,1454112,T & L Pork LLC,31,1,20000375008.0,312559994,68938,T & L Pork Llc,24991 GRANDVIEW RD,Elkport,IA,0,Clayton,1, ,Active,Confinement,No,999.6,0,Volga,92,4,W,28,42.75793,-91.31431,637938,4735312,570,ADDRESS MATCHING-STREET CENTERLINE,CENTER OF FACILITY, ,batchefd,1462320000000.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68938,11063,999,0,0,0,0,0,0,N,N,N,Y,N
11430,1457364,Jade 9,31,1,20000379116.0,312615637,69271,Jade 9,370TH STREET,Ruthven,IA,51358,Palo Alto,3, ,Inactive,Confinement,No,999.6,0,Highland,96,34,W,22,43.11284,-94.85207,349316,4775011,25,INTERPOLATION-MAP,CENTER OF FACILITY, ,sheila.k,1490636599000.0, ,4,2,1,71000020302.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69271,11402,999,0,0,0,0,0,0,Y,N,N,Y,N
11436,1457373,69275,31,1,20000379129.0,312615846,69275,69275,18470 150TH STREET,Cresco,IA,52136,Howard,1, ,Active,Confinement,No,999.6,0,Paris,98,12,W,24,43.29531,-92.21421,563741,4793909,570,ADDRESS MATCHING-STREET CENTERLINE,CENTER OF FACILITY, ,batchefd,1490140800000.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=69275,11405,999,0,0,0,0,0,0,Y,N,N,Y,N
11449,1454146,Baker Cindy,31,1,20000375049.0,312560657,68944,Baker Cindy,170TH AVE,Spencer,IA,51301,Clay,3, ,Inactive,Confinement,No,999.6,0,Riverton,96,37,W,29,43.10911,-95.24543,317300,4775379,570,ADDRESS MATCHING-STREET CENTERLINE,CENTER OF FACILITY, ,batchefd,1462752000000.0, , ,0,0,0.0,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68944,11071,999,0,0,0,0,0,0,N,N,N,Y,N
